Weeks,Vehicle,CDDO,Sham,GCR,Death
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,1,0,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
58,1,0,0,1,0
51,0,1,1,0,1
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
58,0,1,1,0,0
5,0,1,0,1,1
55,0,1,0,1,1
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0
58,0,1,0,1,0